name,url,tags
Remnant: From the Ashes,https://store.steampowered.com/app/617290/Remnant_From_the_Ashes,"Souls-like,Action,RPG,Co-op,Adventure,Third-Person Shooter,Multiplayer,Online Co-Op,Shooter,Post-apocalyptic,Survival,Difficult,Singleplayer,Lovecraftian,Dark Fantasy,Violent,Procedural Generation,Atmospheric,Horror,Replay Value"
Subnautica: Below Zero,https://store.steampowered.com/app/848450/Subnautica_Below_Zero,"Open World Survival Craft,Survival,Underwater,Open World,Singleplayer,Exploration,Horror,Base Building,Adventure,Crafting,First-Person,Survival Horror,Aliens,Sci-fi,Multiplayer,Atmospheric,Story Rich,Early Access,Great Soundtrack,Sandbox"
Portal 2,https://store.steampowered.com/app/620/Portal_2,"Platformer,Puzzle,Dark Humor,First-Person,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure"
Forts,https://store.steampowered.com/app/410900/Forts,"Base Building,Physics,Multiplayer,Destruction,Building,Strategy,Moddable,Sandbox,Action,2D,Memes,Military,Indie,Level Editor,Funny,Singleplayer,Tactical,Retro,Pixel Graphics,Lemmings"
Conan Exiles,https://store.steampowered.com/app/440900/Conan_Exiles,"Survival,Open World,Nudity,Building,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Adventure,Action,Online Co-Op,Exploration,Violent,Co-op,Singleplayer,Fantasy,Gore,PvP"
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley,"Farming Sim,Life Sim,Pixel Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing"
Human: Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
Insurgency: Sandstorm,https://store.steampowered.com/app/581320/Insurgency_Sandstorm,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter"
American Truck Simulator,https://store.steampowered.com/app/270880/American_Truck_Simulator,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor"
Black Desert,https://store.steampowered.com/app/582660/Black_Desert,"MMORPG,Massively Multiplayer,RPG,Open World,Character Customization,Adventure,Fantasy,Action,Strategy,3D,Atmospheric,Crafting,Simulation,Medieval,Magic,Cooking,Multiplayer,PvP,War,Combat"
Kena: Bridge of Spirits,https://store.steampowered.com/app/1954200/Kena_Bridge_of_Spirits,"Action,Adventure,Action-Adventure,Souls-like,3D Platformer,Exploration,Female Protagonist,Cinematic,Third Person,3D,Atmospheric,Fantasy,Magic,Nature,Combat,Story Rich,Controller,Singleplayer,Indie,Mystery"
Space Engineers,https://store.steampowered.com/app/244850/Space_Engineers,"Space,Sandbox,Building,Open World Survival Craft,Multiplayer,Survival,Simulation,Open World,Physics,Crafting,Destruction,Co-op,Futuristic,Indie,Sci-fi,Singleplayer,Action,Strategy,Adventure,Early Access"
CarX Drift Racing Online,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online,"Racing,Driving,Automobile Sim,Multiplayer,Simulation,Sports,Open World,Massively Multiplayer,Controller,Singleplayer,Arcade,VR,Realistic,Local Multiplayer,Co-op,Early Access,Casual,Games Workshop,Action,Mod"
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Simulation"
EVE Online,https://store.steampowered.com/app/8500/EVE_Online,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Strategy,Multiplayer,Economy,Massively Multiplayer,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE"
V Rising,https://store.steampowered.com/app/1604030/V_Rising,"Early Access,Open World,Survival,Base Building,Vampire,Multiplayer,Crafting,PvP,PvE,Online Co-Op,Building,Hack and Slash,Sandbox,Exploration,Massively Multiplayer,Action,Action-Adventure,Singleplayer,Adventure,Dark Fantasy"
Disco Elysium - The Final Cut,https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut,"RPG,Story Rich,Choices Matter,Detective,Isometric,Atmospheric,Singleplayer,CRPG,Point & Click,Noir,Surreal,Indie,Adventure,Exploration,Funny,Visual Novel,Open World,Character Customization,Political,Sexual Content"
TEKKEN 7,https://store.steampowered.com/app/389730/TEKKEN_7,"Fighting,Action,Multiplayer,Competitive,Arcade,Local Multiplayer,Controller,Great Soundtrack,Singleplayer,3D Fighter,eSports,Sports,Character Customization,Difficult,Anime,Story Rich,Beat 'em up,Third Person,2D Fighter,Atmospheric"
Scrap Mechanic,https://store.steampowered.com/app/387990/Scrap_Mechanic,"Building,Sandbox,Survival,Open World,Multiplayer,Physics,Crafting,Base Building,Co-op,Singleplayer,First-Person,Adventure,Third Person,Funny,Early Access,Simulation,Action,Indie,Moddable,Online Co-Op"
The Forest,https://store.steampowered.com/app/242760/The_Forest,"Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Atmospheric,Singleplayer,Simulation,Gore,Realistic,Indie,Early Access,Zombies"
Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa,"Racing,Automobile Sim,Simulation,Driving,Multiplayer,Realistic,VR,Sports,Moddable,Controller,Open World,Physics,Singleplayer,First-Person,Indie,Replay Value,Action,3D Vision,TrackIR,Artificial Intelligence"
Hollow Knight,https://store.steampowered.com/app/367520/Hollow_Knight,"Metroidvania,Souls-like,Platformer,Great Soundtrack,Difficult,2D,Indie,Atmospheric,Singleplayer,Exploration,Adventure,Story Rich,Hand-drawn,Action,Multiple Endings,Dark Fantasy,Open World,Cute,Controller,Side Scroller"
MORDHAU,https://store.steampowered.com/app/629760/MORDHAU,"Medieval,Multiplayer,First-Person,Swordplay,Gore,PvP,Online Co-Op,Action,Fighting,PvE,Character Customization,Hack and Slash,Team-Based,Third Person,Realistic,Competitive,Historical,Indie,Survival,FPS"
Half-Life: Alyx,https://store.steampowered.com/app/546560/HalfLife_Alyx,"VR,FPS,Story Rich,Horror,Female Protagonist,Shooter,First-Person,Singleplayer,Action,Sci-fi,Atmospheric,Zombies,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore"
ASTRONEER,https://store.steampowered.com/app/361420/ASTRONEER,"Multiplayer,Open World,Open World Survival Craft,Survival,Space,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
